Iterations,Total_loss,Avg_loss,Learning rate,Time
6221,1.823747,2.136982,0.001,4.427065
6222,2.744437,2.197728,0.001,4.938761
6223,2.106382,2.188593,0.001,4.640308
6224,2.315821,2.201316,0.001,4.559499
6225,3.008491,2.282034,0.001,5.233763
6226,1.60793,2.214623,0.001,4.400271
6227,2.559011,2.249062,0.001,4.980145
6228,2.12464,2.23662,0.001,4.575424
6229,2.099577,2.222916,0.001,4.624933
6230,1.947616,2.195386,0.001,4.536395
6231,2.159404,2.191787,0.001,4.626895
6232,1.674957,2.140104,0.001,4.376378
6233,2.314267,2.157521,0.001,4.720385
6234,1.729439,2.114712,0.001,4.481701
6235,2.135119,2.116753,0.001,4.651818
6236,2.19077,2.124155,0.001,4.714195
6237,2.102656,2.122005,0.001,4.730747
6238,1.479824,2.057787,0.001,4.272428
6239,2.443998,2.096408,0.001,4.775114
6240,2.828184,2.169585,0.001,5.072334
6241,2.070896,2.159717,0.001,4.540969
6242,2.401651,2.18391,0.001,4.771101
6243,2.783164,2.243835,0.001,4.973151
6244,2.281265,2.247578,0.001,4.618459
6245,1.566616,2.179482,0.001,4.367348
6246,1.865322,2.148066,0.001,4.611654
6247,2.172276,2.150487,0.001,4.663972
6248,2.198993,2.155338,0.001,4.684471
6249,2.008712,2.140675,0.001,4.541488
6250,2.095218,2.136129,0.001,4.541477
6251,1.918214,2.114338,0.001,4.658231
6252,2.383053,2.141209,0.001,4.73706
6253,2.800605,2.207149,0.001,4.932754
6254,1.801143,2.166548,0.001,4.477216
6255,1.938791,2.143773,0.001,4.508955
6256,1.951082,2.124504,0.001,4.612268
6257,1.7452,2.086574,0.001,4.380603
6258,2.653981,2.143314,0.001,4.946857
6259,2.148852,2.143868,0.001,4.603236
6260,2.059013,2.135383,0.001,4.644528
6261,2.395733,2.161418,0.001,4.828707
6262,1.212759,2.066552,0.001,4.126109
6263,2.928473,2.152744,0.001,4.974618
6264,2.88251,2.225721,0.001,4.901929
6265,2.664415,2.26959,0.001,4.880782
6266,2.074351,2.250066,0.001,4.528528
6267,1.983919,2.223452,0.001,4.567506
6268,2.450948,2.246201,0.001,4.739409
6269,3.394482,2.361029,0.001,5.054725
6270,2.182622,2.343189,0.001,4.595013
6271,2.283968,2.337267,0.001,4.685848
6272,3.023705,2.40591,0.001,5.108996
6273,2.35042,2.400362,0.001,4.916601
6274,1.814718,2.341797,0.001,4.468235
6275,2.376216,2.345239,0.001,4.764239
6276,2.480762,2.358792,0.001,4.803799
