Iterations,Total_loss,Avg_loss,Learning rate,Time
50,1968.716431,2007.215332,0.0,11.623025
51,1959.136597,2002.407471,0.0,11.582378
52,1947.671753,1996.933838,0.0,11.475635
53,1945.104614,1991.750977,0.0,11.819967
54,1931.11853,1985.687744,0.0,11.544563
55,1920.608643,1979.17981,0.0,11.708119
56,1913.122803,1972.574097,0.0,11.896363
57,1887.160645,1964.032715,0.0,11.183967
58,1881.80603,1955.810059,0.0,11.465909
59,1863.679565,1946.597046,0.0,11.458359
60,1848.595947,1936.796997,0.0,11.390249
61,1839.94873,1927.112183,0.0,11.957613
62,1819.42627,1916.343628,0.0,11.617542
63,1804.527222,1905.161987,0.0,11.907315
64,1770.178833,1891.663696,0.0,11.418362
65,1766.539917,1879.151367,0.0,12.010162
66,1735.590576,1864.795288,0.0,11.60044
67,1711.020996,1849.417847,0.0,11.28229
68,1690.517334,1833.527832,0.0,11.509873
69,1669.409668,1817.115967,0.0,11.404539
70,1639.263428,1799.330688,0.0,11.671493
71,1616.684204,1781.06604,0.0,11.665556
72,1586.88623,1761.648071,0.0,11.344002
73,1554.344238,1740.917725,0.0,11.556419
74,1530.275146,1719.853516,0.0,11.60835
75,1502.370117,1698.105225,0.0,11.754562
76,1462.410034,1674.535767,0.0,11.520224
77,1424.59436,1649.541626,0.0,11.331991
78,1393.751709,1623.962646,0.0,11.554208
79,1360.719727,1597.638306,0.0,11.579183
80,1318.97644,1569.772095,0.0,11.322968
81,1289.633057,1541.758179,0.0,11.605326
82,1241.20166,1511.702515,0.0,11.343981
83,1210.389771,1481.571289,0.0,11.42467
84,1175.614624,1450.975586,0.0,11.57831
85,1136.312012,1419.509277,0.0,11.437913
86,1099.357422,1387.494141,0.0,11.290083
87,1065.340332,1355.278809,0.0,11.748285
88,1009.890137,1320.73999,0.0,11.228173
89,974.326599,1286.098633,0.0,11.359644
90,938.464355,1251.335205,0.0,11.582356
91,895.00885,1215.702515,0.0,11.281466
92,863.521912,1180.484497,0.0,11.609744
93,826.722839,1145.108276,0.0,11.399575
94,780.969421,1108.694336,0.0,11.47023
95,759.862915,1073.811157,0.0,11.685899
96,707.039978,1037.134033,0.0,11.211843
97,681.420593,1001.562683,0.0,11.229073
98,646.234009,966.029846,0.0,11.892201
99,619.233093,931.350159,0.0,11.490361
100,578.809082,896.096069,0.0,11.794214
101,544.58606,860.945068,0.0,11.584363
102,517.510315,826.601562,0.0,11.699122
103,496.465179,793.587952,0.0,11.715092
104,457.125366,759.941711,0.0,11.556726
105,433.222534,727.269775,0.0,11.734181
106,409.20874,695.463684,0.0,11.621704
107,369.411163,662.858459,0.0,10.787004
108,362.27301,632.799927,0.0,11.651969
109,336.541595,603.174072,0.0,11.470569
110,318.017456,574.658386,0.0,11.646282
111,304.866852,547.67926,0.0,11.938608
112,284.252991,521.336609,0.0,11.711001
113,258.022003,495.005157,0.0,11.290167
114,253.087875,470.813416,0.0,11.860324
115,231.170761,446.849152,0.0,11.596773
116,216.209396,423.785187,0.0,11.603367
117,206.236572,402.030334,0.0,11.457747
118,185.737991,380.401093,0.0,11.346218
119,181.676376,360.528625,0.0,11.671363
120,168.580185,341.333771,0.0,11.369516
121,158.378555,323.038239,0.0,11.584516
122,147.701172,305.504517,0.0,11.492163
123,146.482986,289.602356,0.0,11.874671
124,131.51532,273.79364,0.0,11.53409
125,121.386307,258.552917,0.0,11.270086
126,115.500999,244.247726,0.0,11.324082
127,110.669495,230.889908,0.0,11.542023
128,103.750237,218.175934,0.0,11.334874
129,97.711502,206.129486,0.0,11.555293
130,94.879173,195.004456,0.0,11.507044
131,83.739059,183.877914,0.0,11.229407
132,85.52993,174.043121,0.0,11.633375
133,79.096977,164.548508,0.0,11.735098
134,76.415123,155.735168,0.0,11.592775
135,74.513321,147.612976,0.0,11.659215
136,65.099571,139.361633,0.0,11.692754
137,65.537567,131.979233,0.0,12.35579
138,56.589851,124.440292,0.0,11.657146
139,62.973343,118.293594,0.0,11.874855
140,56.96616,112.160851,0.0,11.513442
141,52.555183,106.200287,0.0,11.658813
142,50.704304,100.650688,0.0,11.487507
143,49.162323,95.501854,0.0,11.535674
144,57.402588,91.691925,0.0,11.799743
145,42.45076,86.767807,0.0,11.200702
146,47.56599,82.847626,0.0,12.203334
147,41.552906,78.718155,0.0,11.405964
148,43.188766,75.165215,0.0,11.712527
149,39.337502,71.582443,0.0,11.489132
150,41.33416,68.557617,1e-06,11.83027
151,40.782776,65.780136,1e-06,11.87832
152,38.438026,63.045925,1e-06,11.829916
153,36.168636,60.358196,1e-06,11.496498
154,35.488556,57.871231,1e-06,11.521033
155,32.480141,55.332123,1e-06,11.623245
156,30.421944,52.841106,1e-06,11.495987
157,30.99321,50.656319,1e-06,11.711865
158,37.215931,49.312279,1e-06,11.965248
159,28.920254,47.273075,1e-06,11.404767
160,31.674881,45.713257,1e-06,11.822776
161,29.89731,44.13166,1e-06,11.476336
162,37.210606,43.439556,1e-06,12.140375
163,28.656385,41.961239,1e-06,11.603195
164,28.450386,40.610153,1e-06,11.786328
165,23.827847,38.931923,1e-06,11.486709
166,28.177002,37.85643,1e-06,11.691362
167,34.16964,37.487751,1e-06,11.87438
168,26.273561,36.366333,1e-06,11.581918
169,18.897291,34.619431,1e-06,11.169387
170,25.708759,33.728363,1e-06,11.633195
171,19.91045,32.346573,1e-06,11.389517
172,27.916544,31.90357,1e-06,11.713926
173,19.072626,30.620476,1e-06,11.228233
174,26.811024,30.239531,1e-06,11.613104
175,26.427351,29.858313,1e-06,11.773547
176,18.401514,28.712633,1e-06,11.209709
177,24.192202,28.26059,1e-06,11.753944
178,24.80094,27.914625,1e-06,11.630767
179,25.256105,27.648773,1e-06,11.799181
180,28.512074,27.735104,1e-06,11.907938
181,24.761723,27.437765,1e-06,11.772294
182,21.026237,26.796612,1e-06,11.286842
183,21.549492,26.2719,1e-06,11.628721
184,27.211681,26.365879,1e-06,12.02821
185,26.556593,26.384951,1e-06,11.839374
186,19.343695,25.680824,1e-06,11.366358
187,21.566431,25.269384,1e-06,11.668394
188,24.122875,25.154734,1e-06,11.73399
189,23.40917,24.980177,1e-06,11.717564
190,17.370481,24.219208,1e-06,11.376442
